truck,distance_km,est_min,google_link
Truck 1,105.31,252.7,"https://www.google.com/maps/dir/17.398732793999997,78.47202049840001/17.366602,78.56366/17.357239,78.60952/17.348376,78.629139/17.303155,78.612364/17.299603,78.600431/17.289438,78.595702/17.237768,78.636574/17.212634,78.574023/17.232909,78.570211/17.220454,78.500722/17.22777,78.48315/17.220518,78.466799/17.219257,78.454838/17.203679,78.432021/17.209483,78.396091/17.203137,78.330701/17.224817,78.304155/17.224917,78.331378/17.240549,78.338248/17.245036,78.35597/17.264146,78.360904/17.25601,78.372738/17.254754,78.418477/17.272391,78.418429/17.284579,78.414359/17.398732793999997,78.47202049840001"
Truck 2,123.98,297.5,"https://www.google.com/maps/dir/17.398732793999997,78.47202049840001/17.411575,78.632598/17.410276,78.645805/17.444585,78.624765/17.472447,78.610895/17.507689,78.626376/17.521441,78.617612/17.526333,78.641771/17.595067,78.586238/17.556342,78.492961/17.579709,78.479259/17.598175,78.486177/17.580212,78.450562/17.596502,78.405582/17.599128,78.390807/17.596993,78.329891/17.560007,78.302482/17.559168,78.331371/17.53937,78.342443/17.52237,78.322139/17.478865,78.329364/17.504091,78.359062/17.519318,78.358165/17.506219,78.377402/17.478408,78.368593/17.452957,78.362929/17.398732793999997,78.47202049840001"
Truck 3,122.78,294.7,"https://www.google.com/maps/dir/17.398732793999997,78.47202049840001/17.48642,78.401324/17.522976,78.411314/17.555464,78.438019/17.513319,78.515325/17.530284,78.540613/17.449052,78.556665/17.428115,78.581512/17.359529,78.582669/17.347565,78.595305/17.325111,78.571393/17.316953,78.574152/17.298841,78.516336/17.290127,78.488192/17.298743,78.427096/17.317284,78.423716/17.337355,78.409638/17.336762,78.39452/17.314363,78.379366/17.349708,78.346822/17.350188,78.309918/17.377673,78.337269/17.417078,78.31285/17.429412,78.343781/17.406679,78.367801/17.408123,78.390118/17.398732793999997,78.47202049840001"
Truck 4,74.61,179.1,"https://www.google.com/maps/dir/17.398732793999997,78.47202049840001/17.385479,78.466052/17.397518,78.453265/17.386015,78.455757/17.375942,78.45442/17.362722,78.462242/17.360772,78.471609/17.304419,78.473501/17.327501,78.44964/17.349568,78.442129/17.352381,78.435273/17.395296,78.399815/17.425557,78.427164/17.426407,78.431578/17.441455,78.417709/17.469003,78.44276/17.470848,78.427264/17.496657,78.420577/17.497083,78.446198/17.520615,78.457354/17.471665,78.477588/17.430024,78.478575/17.429546,78.502326/17.423457,78.502695/17.423902,78.534957/17.395134,78.507797/17.398732793999997,78.47202049840001"
